"연번","어린이집명","어린이집유형","주소","정원","현원"
"1741","미래꿈어린이집","민간","인천광역시 남구 비룡길42번길 7 (용현동)","26","23"
"1742","탑아이들세상어린이집","민간","경기도 수원시 권선구 서둔로239번길 16-8 (탑동)","93","81"
"1743","꼬마무지개어린이집","가정","강원도 춘천시 퇴계로 108 105동 102호(퇴계동, 유승한내들아파트)","20","16"
"1744","보길성신어린이집","법인·단체등","전라남도 완도군 보길면 보길동로146번길 43 보길성신어린이집","69","68"
"1745","키즈토피아어린이집","가정","강원도 원주시 단구로 411 607동 101호(단구동, 현진에버빌6차아파트)","20","20"
"1746","철도어린이집","직장","대전광역시 동구 중앙로 242 (신안동)","85","85"
"1747","포스코어린이집","직장","서울특별시 강남구 테헤란로 440 (대치동)","98","85"
"1748","하늘숲속어린이집","민간","광주광역시 광산구 사암로158번길 46-5","69","64"
"1749","아띠어린이집","가정","충청북도 청주시 청원구 오창읍 오창중앙로 62 503동 104호(각리, 대원칸타빌)","20","19"
"1750","어울림어린이집","가정","광주광역시 서구 상무공원로 51 406동 102호(치평동, 금호)","19","17"
"1751","남산타운어린이집","국공립","서울특별시 중구 다산로 32 (신당동)","35","30"
"1752","키즈스쿨 자연 어린이집","민간","경상남도 함안군 칠원면 예용2길 59","61","38"
"1753","성결어린이집","가정","서울특별시 마포구 독막로28길 19 (신수동)","18","15"
"1754","하점군립어린이집","국공립","인천광역시 강화군 하점면 고려산로 464-14","70","61"
"1755","성남아이사랑어린이집","민간","경기도 성남시 수정구 수정로217번길 4 (태평동)","25","25"
"1756","서울노총홍익어린이집","민간","서울특별시 영등포구 영등포동7가 국회대로44길 10 서울노총복지회관 1층 서울노총홍익어린이집","113","113"
"1757","솔로몬영재어린이집","가정","부산광역시 북구 용수로 11 716동 102호(화명동, 대림쌍용강변타운)","20","20"
"1758","kids아이사랑어린이집","가정","서울특별시 도봉구 노해로70길 12 1동 107호(창동, 동아아파트)","20","18"
"1759","아기숲어린이집","가정","경기도 고양시 덕양구 푸른마을로 52 406동 102호(고양동, 푸른마을)","17","17"
"1760","아이사랑어린이집","민간","부산광역시 북구 모분재로120번길 20 (구포동)","70","58"
"1761","대구광역시종합복지회관한아름어린이집","국공립","대구광역시 달서구 성당로 187 (성당동)","52","44"
"1762","해오름어린이집","가정","서울특별시 도봉구 시루봉로 107 24동 110호(방학동, 신동아1차아파트)","12","9"
